pais,recuperados,fallecidos,activos,confirmados
BLZ,0,2,12,14
CRI,56,3,536,595
GTM,19,5,131,155
HND,7,25,361,393
NIC,5,1,3,9
PAN,29,87,3284,3400
SLV,21,6,98,125
DOM,131,173,2663,2967
