pais,recuperados,fallecidos,activos,confirmados
BLZ,0,2,16,18
CRI,67,4,555,626
GTM,19,5,172,196
HND,9,35,382,426
NIC,5,1,3,9
PAN,75,103,3573,3751
SLV,30,6,123,159
DOM,208,189,3217,3614
