pais,recuperados,fallecidos,activos,confirmados
Belice,0,1,8,9
Costa Rica,30,3,506,539
Guatemala,17,3,75,95
Honduras,6,23,314,343
Nicaragua,2,1,4,7
Panamá,16,63,2449,2528
El Salvador,10,5,88,103
R. Dominicana,80,118,2151,2349
